Region,group,cohort,week_end,vacc_alive,denom
Aneurin Bevan UHB,Residents in a care home for older adults,Autumn 2025,2025-11-30,2572,5005
Aneurin Bevan UHB,Residents in a care home for older adults,Autumn 2025,2025-12-07,2808,5005
Aneurin Bevan UHB,Residents in a care home for older adults,Autumn 2025,2025-12-14,2930,5005
Aneurin Bevan UHB,Residents in a care home for older adults,Autumn 2025,2025-12-21,2994,5005
Aneurin Bevan UHB,Residents in a care home for older adults,Autumn 2025,2025-12-28,3123,5005
Aneurin Bevan UHB,Residents in a care home for older adults,Autumn 2025,2026-01-04,3159,5005
Aneurin Bevan UHB,Clinical risk,Autumn 2025,2025-09-28,469,3021
Aneurin Bevan UHB,Clinical risk,Autumn 2025,2025-10-05,774,3021
Aneurin Bevan UHB,Clinical risk,Autumn 2025,2025-10-12,990,3021
Aneurin Bevan UHB,Clinical risk,Autumn 2025,2025-10-19,1204,3021
Aneurin Bevan UHB,Clinical risk,Autumn 2025,2025-10-26,1319,3021
Aneurin Bevan UHB,Clinical risk,Autumn 2025,2025-11-02,1401,3021
Aneurin Bevan UHB,Clinical risk,Autumn 2025,2025-11-09,1549,3021
Aneurin Bevan UHB,Clinical risk,Autumn 2025,2025-11-16,1639,3021
Aneurin Bevan UHB,Clinical risk,Autumn 2025,2025-11-23,1695,3021
Aneurin Bevan UHB,Clinical risk,Autumn 2025,2025-11-30,1756,3021
Aneurin Bevan UHB,Clinical risk,Autumn 2025,2025-12-07,1803,3021
Aneurin Bevan UHB,Clinical risk,Autumn 2025,2025-12-14,1874,3021
Aneurin Bevan UHB,Clinical risk,Autumn 2025,2025-12-21,1946,3021
Aneurin Bevan UHB,Clinical risk,Autumn 2025,2025-12-28,2016,3021
Aneurin Bevan UHB,Clinical risk,Autumn 2025,2026-01-04,2078,3021
Aneurin Bevan UHB,Potentially eligible,Autumn 2025,2025-09-28,908,7892
Aneurin Bevan UHB,Potentially eligible,Autumn 2025,2025-10-05,1608,7892
Aneurin Bevan UHB,Potentially eligible,Autumn 2025,2025-10-12,2261,7892
Aneurin Bevan UHB,Potentially eligible,Autumn 2025,2025-10-19,2655,7892
Aneurin Bevan UHB,Potentially eligible,Autumn 2025,2025-10-26,3083,7892
Aneurin Bevan UHB,Potentially eligible,Autumn 2025,2025-11-02,3609,7892
Aneurin Bevan UHB,Potentially eligible,Autumn 2025,2025-11-09,3838,7892
Aneurin Bevan UHB,Potentially eligible,Autumn 2025,2025-11-16,4206,7892
Aneurin Bevan UHB,Potentially eligible,Autumn 2025,2025-11-23,4583,7892
Aneurin Bevan UHB,Potentially eligible,Autumn 2025,2025-11-30,4825,7892
Aneurin Bevan UHB,Potentially eligible,Autumn 2025,2025-12-07,4905,7892
Aneurin Bevan UHB,Potentially eligible,Autumn 2025,2025-12-14,5091,7892
Aneurin Bevan UHB,Potentially eligible,Autumn 2025,2025-12-21,5232,7892
Aneurin Bevan UHB,Potentially eligible,Autumn 2025,2025-12-28,5384,7892
Aneurin Bevan UHB,Potentially eligible,Autumn 2025,2026-01-04,5531,7892
Betsi Cadwaladr UHB,Adults aged 65 years and over,Autumn 2025,2025-09-28,248,2502
Betsi Cadwaladr UHB,Adults aged 65 years and over,Autumn 2025,2025-10-05,534,2502
Betsi Cadwaladr UHB,Adults aged 65 years and over,Autumn 2025,2025-10-12,611,2502
Betsi Cadwaladr UHB,Adults aged 65 years and over,Autumn 2025,2025-10-19,808,2502
Betsi Cadwaladr UHB,Adults aged 65 years and over,Autumn 2025,2025-10-26,953,2502
Betsi Cadwaladr UHB,Adults aged 65 years and over,Autumn 2025,2025-11-02,1067,2502
Betsi Cadwaladr UHB,Adults aged 65 years and over,Autumn 2025,2025-11-09,1178,2502
Betsi Cadwaladr UHB,Adults aged 65 years and over,Autumn 2025,2025-11-16,1220,2502
Betsi Cadwaladr UHB,Adults aged 65 years and over,Autumn 2025,2025-11-23,1301,2502
Betsi Cadwaladr UHB,Adults aged 65 years and over,Autumn 2025,2025-11-30,1386,2502
Betsi Cadwaladr UHB,Adults aged 65 years and over,Autumn 2025,2025-12-07,1485,2502
Betsi Cadwaladr UHB,Adults aged 65 years and over,Autumn 2025,2025-12-14,1531,2502
Betsi Cadwaladr UHB,Adults aged 65 years and over,Autumn 2025,2025-12-21,1565,2502
Betsi Cadwaladr UHB,Adults aged 65 years and over,Autumn 2025,2025-12-28,1600,2502
Betsi Cadwaladr UHB,Adults aged 65 years and over,Autumn 2025,2026-01-04,1656,2502
Betsi Cadwaladr UHB,Residents in a care home for older adults,Autumn 2025,2025-09-28,1697,15931
Betsi Cadwaladr UHB,Residents in a care home for older adults,Autumn 2025,2025-10-05,3454,15931
Betsi Cadwaladr UHB,Residents in a care home for older adults,Autumn 2025,2025-10-12,4645,15931
Betsi Cadwaladr UHB,Residents in a care home for older adults,Autumn 2025,2025-10-19,5568,15931
Betsi Cadwaladr UHB,Residents in a care home for older adults,Autumn 2025,2025-10-26,6578,15931
Betsi Cadwaladr UHB,Residents in a care home for older adults,Autumn 2025,2025-11-02,7278,15931
Betsi Cadwaladr UHB,Residents in a care home for older adults,Autumn 2025,2025-11-09,7871,15931
Betsi Cadwaladr UHB,Residents in a care home for older adults,Autumn 2025,2025-11-16,8656,15931
Betsi Cadwaladr UHB,Residents in a care home for older adults,Autumn 2025,2025-11-23,9108,15931
Betsi Cadwaladr UHB,Residents in a care home for older adults,Autumn 2025,2025-11-30,9182,15931
Betsi Cadwaladr UHB,Residents in a care home for older adults,Autumn 2025,2025-12-07,9633,15931
Betsi Cadwaladr UHB,Residents in a care home for older adults,Autumn 2025,2025-12-14,9935,15931
Betsi Cadwaladr UHB,Residents in a care home for older adults,Autumn 2025,2025-12-21,10212,15931
Betsi Cadwaladr UHB,Residents in a care home for older adults,Autumn 2025,2025-12-28,10538,15931
Betsi Cadwaladr UHB,Residents in a care home for older adults,Autumn 2025,2026-01-04,10757,15931
Betsi Cadwaladr UHB,Clinical risk,Autumn 2025,2025-09-28,1612,19879
Betsi Cadwaladr UHB,Clinical risk,Autumn 2025,2025-10-05,3878,19879
Betsi Cadwaladr UHB,Clinical risk,Autumn 2025,2025-10-12,5344,19879
Betsi Cadwaladr UHB,Clinical risk,Autumn 2025,2025-10-19,6136,19879
Betsi Cadwaladr UHB,Clinical risk,Autumn 2025,2025-10-26,6995,19879
Betsi Cadwaladr UHB,Clinical risk,Autumn 2025,2025-11-02,7769,19879
Betsi Cadwaladr UHB,Clinical risk,Autumn 2025,2025-11-09,8714,19879
Betsi Cadwaladr UHB,Clinical risk,Autumn 2025,2025-11-16,9421,19879
Betsi Cadwaladr UHB,Clinical risk,Autumn 2025,2025-11-23,9994,19879
Betsi Cadwaladr UHB,Clinical risk,Autumn 2025,2025-11-30,10627,19879
Betsi Cadwaladr UHB,Clinical risk,Autumn 2025,2025-12-07,11270,19879
Betsi Cadwaladr UHB,Clinical risk,Autumn 2025,2025-12-14,11707,19879
Betsi Cadwaladr UHB,Clinical risk,Autumn 2025,2025-12-21,12038,19879
Betsi Cadwaladr UHB,Clinical risk,Autumn 2025,2025-12-28,12348,19879
Betsi Cadwaladr UHB,Clinical risk,Autumn 2025,2026-01-04,12730,19879
Betsi Cadwaladr UHB,Potentially eligible,Autumn 2025,2025-09-28,692,6931
Betsi Cadwaladr UHB,Potentially eligible,Autumn 2025,2025-10-05,1264,6931
Betsi Cadwaladr UHB,Potentially eligible,Autumn 2025,2025-10-12,1707,6931
Betsi Cadwaladr UHB,Potentially eligible,Autumn 2025,2025-10-19,2242,6931
Betsi Cadwaladr UHB,Potentially eligible,Autumn 2025,2025-10-26,2577,6931
Betsi Cadwaladr UHB,Potentially eligible,Autumn 2025,2025-11-02,2956,6931
Betsi Cadwaladr UHB,Potentially eligible,Autumn 2025,2025-11-09,3256,6931
Betsi Cadwaladr UHB,Potentially eligible,Autumn 2025,2025-11-16,3610,6931
Betsi Cadwaladr UHB,Potentially eligible,Autumn 2025,2025-11-23,3809,6931
Betsi Cadwaladr UHB,Potentially eligible,Autumn 2025,2025-11-30,3981,6931
Betsi Cadwaladr UHB,Potentially eligible,Autumn 2025,2025-12-07,4180,6931
Betsi Cadwaladr UHB,Potentially eligible,Autumn 2025,2025-12-14,4440,6931
Betsi Cadwaladr UHB,Potentially eligible,Autumn 2025,2025-12-21,4573,6931
Betsi Cadwaladr UHB,Potentially eligible,Autumn 2025,2025-12-28,4666,6931
Betsi Cadwaladr UHB,Potentially eligible,Autumn 2025,2026-01-04,4804,6931
Cardiff and Vale UHB,Adults aged 65 years and over,Autumn 2025,2025-09-28,1627,16243
Cardiff and Vale UHB,Adults aged 65 years and over,Autumn 2025,2025-10-05,2923,16243
Cardiff and Vale UHB,Adults aged 65 years and over,Autumn 2025,2025-10-12,4321,16243
Cardiff and Vale UHB,Adults aged 65 years and over,Autumn 2025,2025-10-19,5078,16243
Cardiff and Vale UHB,Adults aged 65 years and over,Autumn 2025,2025-10-26,6135,16243
Cardiff and Vale UHB,Adults aged 65 years and over,Autumn 2025,2025-11-02,6758,16243
Cardiff and Vale UHB,Adults aged 65 years and over,Autumn 2025,2025-11-09,7596,16243
Cardiff and Vale UHB,Adults aged 65 years and over,Autumn 2025,2025-11-16,8190,16243
Cardiff and Vale UHB,Adults aged 65 years and over,Autumn 2025,2025-11-23,8675,16243
Cardiff and Vale UHB,Adults aged 65 years and over,Autumn 2025,2025-11-30,9025,16243
Cardiff and Vale UHB,Adults aged 65 years and over,Autumn 2025,2025-12-07,9406,16243
Cardiff and Vale UHB,Adults aged 65 years and over,Autumn 2025,2025-12-14,9864,16243
Cardiff and Vale UHB,Adults aged 65 years and over,Autumn 2025,2025-12-21,10328,16243
Cardiff and Vale UHB,Adults aged 65 years and over,Autumn 2025,2025-12-28,10674,16243
Cardiff and Vale UHB,Adults aged 65 years and over,Autumn 2025,2026-01-04,11070,16243
Cardiff and Vale UHB,Residents in a care home for older adults,Autumn 2025,2025-09-28,610,4049
Cardiff and Vale UHB,Residents in a care home for older adults,Autumn 2025,2025-10-05,1008,4049
Cardiff and Vale UHB,Residents in a care home for older adults,Autumn 2025,2025-10-12,1297,4049
Cardiff and Vale UHB,Residents in a care home for older adults,Autumn 2025,2025-10-19,1506,4049
Cardiff and Vale UHB,Residents in a care home for older adults,Autumn 2025,2025-10-26,1676,4049
Cardiff and Vale UHB,Residents in a care home for older adults,Autumn 2025,2025-11-02,1904,4049
Cardiff and Vale UHB,Residents in a care home for older adults,Autumn 2025,2025-11-09,2087,4049
Cardiff and Vale UHB,Residents in a care home for older adults,Autumn 2025,2025-11-16,2217,4049
Cardiff and Vale UHB,Residents in a care home for older adults,Autumn 2025,2025-11-23,2380,4049
Cardiff and Vale UHB,Residents in a care home for older adults,Autumn 2025,2025-11-30,2515,4049
Cardiff and Vale UHB,Residents in a care home for older adults,Autumn 2025,2025-12-07,2661,4049
Cardiff and Vale UHB,Residents in a care home for older adults,Autumn 2025,2025-12-14,2754,4049
Cardiff and Vale UHB,Residents in a care home for older adults,Autumn 2025,2025-12-21,2817,4049
Cardiff and Vale UHB,Residents in a care home for older adults,Autumn 2025,2025-12-28,2872,4049
Cardiff and Vale UHB,Residents in a care home for older adults,Autumn 2025,2026-01-04,2878,4049
Cardiff and Vale UHB,Clinical risk,Autumn 2025,2025-09-28,2218,19340
Cardiff and Vale UHB,Clinical risk,Autumn 2025,2025-10-05,3534,19340
Cardiff and Vale UHB,Clinical risk,Autumn 2025,2025-10-12,4750,19340
Cardiff and Vale UHB,Clinical risk,Autumn 2025,2025-10-19,5704,19340
Cardiff and Vale UHB,Clinical risk,Autumn 2025,2025-10-26,7059,19340
Cardiff and Vale UHB,Clinical risk,Autumn 2025,2025-11-02,8353,19340
Cardiff and Vale UHB,Clinical risk,Autumn 2025,2025-11-09,9281,19340
Cardiff and Vale UHB,Clinical risk,Autumn 2025,2025-11-16,10194,19340
Cardiff and Vale UHB,Clinical risk,Autumn 2025,2025-11-23,10657,19340
Cardiff and Vale UHB,Clinical risk,Autumn 2025,2025-11-30,11238,19340
Cardiff and Vale UHB,Clinical risk,Autumn 2025,2025-12-07,11502,19340
Cardiff and Vale UHB,Clinical risk,Autumn 2025,2025-12-14,11819,19340
Cardiff and Vale UHB,Clinical risk,Autumn 2025,2025-12-21,12342,19340
Cardiff and Vale UHB,Clinical risk,Autumn 2025,2025-12-28,12644,19340
Cardiff and Vale UHB,Clinical risk,Autumn 2025,2026-01-04,13100,19340
Cardiff and Vale UHB,Potentially eligible,Autumn 2025,2025-09-28,999,9022
Cardiff and Vale UHB,Potentially eligible,Autumn 2025,2025-10-05,1543,9022
Cardiff and Vale UHB,Potentially eligible,Autumn 2025,2025-10-12,2225,9022
Cardiff and Vale UHB,Potentially eligible,Autumn 2025,2025-10-19,2692,9022
Cardiff and Vale UHB,Potentially eligible,Autumn 2025,2025-10-26,3347,9022
Cardiff and Vale UHB,Potentially eligible,Autumn 2025,2025-11-02,3805,9022
Cardiff and Vale UHB,Potentially eligible,Autumn 2025,2025-11-09,4187,9022
Cardiff and Vale UHB,Potentially eligible,Autumn 2025,2025-11-16,4523,9022
Cardiff and Vale UHB,Potentially eligible,Autumn 2025,2025-11-23,4895,9022
Cardiff and Vale UHB,Potentially eligible,Autumn 2025,2025-11-30,5121,9022
Cardiff and Vale UHB,Potentially eligible,Autumn 2025,2025-12-07,5415,9022
Cardiff and Vale UHB,Potentially eligible,Autumn 2025,2025-12-14,5692,9022
Cardiff and Vale UHB,Potentially eligible,Autumn 2025,2025-12-21,5842,9022
Cardiff and Vale UHB,Potentially eligible,Autumn 2025,2025-12-28,5935,9022
Cardiff and Vale UHB,Potentially eligible,Autumn 2025,2026-01-04,6039,9022
CTM UHB,Adults aged 65 years and over,Autumn 2025,2025-09-28,465,3816
CTM UHB,Adults aged 65 years and over,Autumn 2025,2025-10-05,764,3816
CTM UHB,Adults aged 65 years and over,Autumn 2025,2025-10-12,1083,3816
CTM UHB,Adults aged 65 years and over,Autumn 2025,2025-10-19,1264,3816
CTM UHB,Adults aged 65 years and over,Autumn 2025,2025-10-26,1411,3816
CTM UHB,Adults aged 65 years and over,Autumn 2025,2025-11-02,1567,3816
CTM UHB,Adults aged 65 years and over,Autumn 2025,2025-11-09,1691,3816
CTM UHB,Adults aged 65 years and over,Autumn 2025,2025-11-16,1793,3816
CTM UHB,Adults aged 65 years and over,Autumn 2025,2025-11-23,1948,3816
CTM UHB,Adults aged 65 years and over,Autumn 2025,2025-11-30,2134,3816
CTM UHB,Adults aged 65 years and over,Autumn 2025,2025-12-07,2212,3816
CTM UHB,Adults aged 65 years and over,Autumn 2025,2025-12-14,2247,3816
CTM UHB,Adults aged 65 years and over,Autumn 2025,2025-12-21,2349,3816
CTM UHB,Adults aged 65 years and over,Autumn 2025,2025-12-28,2377,3816
CTM UHB,Adults aged 65 years and over,Autumn 2025,2026-01-04,2406,3816
CTM UHB,Residents in a care home for older adults,Autumn 2025,2025-09-28,1542,14039
CTM UHB,Residents in a care home for older adults,Autumn 2025,2025-10-05,2980,14039
CTM UHB,Residents in a care home for older adults,Autumn 2025,2025-10-12,4141,14039
CTM UHB,Residents in a care home for older adults,Autumn 2025,2025-10-19,4949,14039
CTM UHB,Residents in a care home for older adults,Autumn 2025,2025-10-26,5850,14039
CTM UHB,Residents in a care home for older adults,Autumn 2025,2025-11-02,6378,14039
CTM UHB,Residents in a care home for older adults,Autumn 2025,2025-11-09,6923,14039
CTM UHB,Residents in a care home for older adults,Autumn 2025,2025-11-16,7366,14039
CTM UHB,Residents in a care home for older adults,Autumn 2025,2025-11-23,7830,14039
CTM UHB,Residents in a care home for older adults,Autumn 2025,2025-11-30,8514,14039
CTM UHB,Residents in a care home for older adults,Autumn 2025,2025-12-07,8639,14039
CTM UHB,Residents in a care home for older adults,Autumn 2025,2025-12-14,9015,14039
CTM UHB,Residents in a care home for older adults,Autumn 2025,2025-12-21,9114,14039
CTM UHB,Residents in a care home for older adults,Autumn 2025,2025-12-28,9303,14039
CTM UHB,Residents in a care home for older adults,Autumn 2025,2026-01-04,9614,14039
CTM UHB,Clinical risk,Autumn 2025,2025-09-28,535,4491
CTM UHB,Clinical risk,Autumn 2025,2025-10-05,874,4491
CTM UHB,Clinical risk,Autumn 2025,2025-10-12,1294,4491
CTM UHB,Clinical risk,Autumn 2025,2025-10-19,1565,4491
CTM UHB,Clinical risk,Autumn 2025,2025-10-26,1788,4491
CTM UHB,Clinical risk,Autumn 2025,2025-11-02,1934,4491
CTM UHB,Clinical risk,Autumn 2025,2025-11-09,2089,4491
CTM UHB,Clinical risk,Autumn 2025,2025-11-16,2282,4491
CTM UHB,Clinical risk,Autumn 2025,2025-11-23,2374,4491
CTM UHB,Clinical risk,Autumn 2025,2025-11-30,2425,4491
CTM UHB,Clinical risk,Autumn 2025,2025-12-07,2513,4491
CTM UHB,Clinical risk,Autumn 2025,2025-12-14,2656,4491
CTM UHB,Clinical risk,Autumn 2025,2025-12-21,2816,4491
CTM UHB,Clinical risk,Autumn 2025,2025-12-28,2873,4491
CTM UHB,Clinical risk,Autumn 2025,2026-01-04,2894,4491
CTM UHB,Potentially eligible,Autumn 2025,2025-09-28,674,7237
CTM UHB,Potentially eligible,Autumn 2025,2025-10-05,1428,7237
CTM UHB,Potentially eligible,Autumn 2025,2025-10-12,2109,7237
CTM UHB,Potentially eligible,Autumn 2025,2025-10-19,2598,7237
CTM UHB,Potentially eligible,Autumn 2025,2025-10-26,3140,7237
CTM UHB,Potentially eligible,Autumn 2025,2025-11-02,3359,7237
CTM UHB,Potentially eligible,Autumn 2025,2025-11-09,3796,7237
CTM UHB,Potentially eligible,Autumn 2025,2025-11-16,3993,7237
CTM UHB,Potentially eligible,Autumn 2025,2025-11-23,4130,7237
CTM UHB,Potentially eligible,Autumn 2025,2025-11-30,4314,7237
CTM UHB,Potentially eligible,Autumn 2025,2025-12-07,4598,7237
CTM UHB,Potentially eligible,Autumn 2025,2025-12-14,4744,7237
CTM UHB,Potentially eligible,Autumn 2025,2025-12-21,4827,7237
CTM UHB,Potentially eligible,Autumn 2025,2025-12-28,4880,7237
CTM UHB,Potentially eligible,Autumn 2025,2026-01-04,4978,7237
Hywel Dda UHB,Adults aged 65 years and over,Autumn 2025,2025-09-28,855,6452
Hywel Dda UHB,Adults aged 65 years and over,Autumn 2025,2025-10-05,1232,6452
Hywel Dda UHB,Adults aged 65 years and over,Autumn 2025,2025-10-12,1666,6452
Hywel Dda UHB,Adults aged 65 years and over,Autumn 2025,2025-10-19,2099,6452
Hywel Dda UHB,Adults aged 65 years and over,Autumn 2025,2025-10-26,2590,6452
Hywel Dda UHB,Adults aged 65 years and over,Autumn 2025,2025-11-02,2788,6452
Hywel Dda UHB,Adults aged 65 years and over,Autumn 2025,2025-11-09,3151,6452
Hywel Dda UHB,Adults aged 65 years and over,Autumn 2025,2025-11-16,3389,6452
Hywel Dda UHB,Adults aged 65 years and over,Autumn 2025,2025-11-23,3537,6452
Hywel Dda UHB,Adults aged 65 years and over,Autumn 2025,2025-11-30,3750,6452
Hywel Dda UHB,Adults aged 65 years and over,Autumn 2025,2025-12-07,3922,6452
Hywel Dda UHB,Adults aged 65 years and over,Autumn 2025,2025-12-14,4033,6452
Hywel Dda UHB,Adults aged 65 years and over,Autumn 2025,2025-12-21,4162,6452
Hywel Dda UHB,Adults aged 65 years and over,Autumn 2025,2025-12-28,4254,6452
Hywel Dda UHB,Adults aged 65 years and over,Autumn 2025,2026-01-04,4355,6452
Hywel Dda UHB,Residents in a care home for older adults,Autumn 2025,2025-09-28,1000,8833
Hywel Dda UHB,Residents in a care home for older adults,Autumn 2025,2025-10-05,1589,8833
Hywel Dda UHB,Residents in a care home for older adults,Autumn 2025,2025-10-12,2285,8833
Hywel Dda UHB,Residents in a care home for older adults,Autumn 2025,2025-10-19,2924,8833
Hywel Dda UHB,Residents in a care home for older adults,Autumn 2025,2025-10-26,3475,8833
Hywel Dda UHB,Residents in a care home for older adults,Autumn 2025,2025-11-02,4025,8833
Hywel Dda UHB,Residents in a care home for older adults,Autumn 2025,2025-11-09,4433,8833
Hywel Dda UHB,Residents in a care home for older adults,Autumn 2025,2025-11-16,4649,8833
Hywel Dda UHB,Residents in a care home for older adults,Autumn 2025,2025-11-23,4982,8833
Hywel Dda UHB,Residents in a care home for older adults,Autumn 2025,2025-11-30,5160,8833
Hywel Dda UHB,Residents in a care home for older adults,Autumn 2025,2025-12-07,5329,8833
Hywel Dda UHB,Residents in a care home for older adults,Autumn 2025,2025-12-14,5495,8833
Hywel Dda UHB,Residents in a care home for older adults,Autumn 2025,2025-12-21,5661,8833
Hywel Dda UHB,Residents in a care home for older adults,Autumn 2025,2025-12-28,5715,8833
Hywel Dda UHB,Residents in a care home for older adults,Autumn 2025,2026-01-04,5921,8833
Hywel Dda UHB,Clinical risk,Autumn 2025,2025-09-28,1416,18281
Hywel Dda UHB,Clinical risk,Autumn 2025,2025-10-05,3467,18281
Hywel Dda UHB,Clinical risk,Autumn 2025,2025-10-12,4821,18281
Hywel Dda UHB,Clinical risk,Autumn 2025,2025-10-19,5543,18281
Hywel Dda UHB,Clinical risk,Autumn 2025,2025-10-26,6347,18281
Hywel Dda UHB,Clinical risk,Autumn 2025,2025-11-02,7618,18281
Hywel Dda UHB,Clinical risk,Autumn 2025,2025-11-09,8524,18281
Hywel Dda UHB,Clinical risk,Autumn 2025,2025-11-16,9211,18281
Hywel Dda UHB,Clinical risk,Autumn 2025,2025-11-23,9425,18281
Hywel Dda UHB,Clinical risk,Autumn 2025,2025-11-30,10237,18281
Hywel Dda UHB,Clinical risk,Autumn 2025,2025-12-07,11020,18281
Hywel Dda UHB,Clinical risk,Autumn 2025,2025-12-14,11671,18281
Hywel Dda UHB,Clinical risk,Autumn 2025,2025-12-21,11933,18281
Hywel Dda UHB,Clinical risk,Autumn 2025,2025-12-28,12286,18281
Hywel Dda UHB,Clinical risk,Autumn 2025,2026-01-04,12608,18281
Hywel Dda UHB,Potentially eligible,Autumn 2025,2025-09-28,649,9357
Hywel Dda UHB,Potentially eligible,Autumn 2025,2025-10-05,1217,9357
Hywel Dda UHB,Potentially eligible,Autumn 2025,2025-10-12,2024,9357
Hywel Dda UHB,Potentially eligible,Autumn 2025,2025-10-19,2837,9357
Hywel Dda UHB,Potentially eligible,Autumn 2025,2025-10-26,3496,9357
Hywel Dda UHB,Potentially eligible,Autumn 2025,2025-11-02,3891,9357
Hywel Dda UHB,Potentially eligible,Autumn 2025,2025-11-09,4159,9357
Hywel Dda UHB,Potentially eligible,Autumn 2025,2025-11-16,4499,9357
Hywel Dda UHB,Potentially eligible,Autumn 2025,2025-11-23,5145,9357
Hywel Dda UHB,Potentially eligible,Autumn 2025,2025-11-30,5284,9357
Hywel Dda UHB,Potentially eligible,Autumn 2025,2025-12-07,5459,9357
Hywel Dda UHB,Potentially eligible,Autumn 2025,2025-12-14,5707,9357
Hywel Dda UHB,Potentially eligible,Autumn 2025,2025-12-21,5887,9357
Hywel Dda UHB,Potentially eligible,Autumn 2025,2025-12-28,6039,9357
Hywel Dda UHB,Potentially eligible,Autumn 2025,2026-01-04,6319,9357
Powys THB,Adults aged 65 years and over,Autumn 2025,2025-09-28,916,7486
Powys THB,Adults aged 65 years and over,Autumn 2025,2025-10-05,1828,7486
Powys THB,Adults aged 65 years and over,Autumn 2025,2025-10-12,2309,7486
Powys THB,Adults aged 65 years and over,Autumn 2025,2025-10-19,2790,7486
Powys THB,Adults aged 65 years and over,Autumn 2025,2025-10-26,3214,7486
Powys THB,Adults aged 65 years and over,Autumn 2025,2025-11-02,3698,7486
Powys THB,Adults aged 65 years and over,Autumn 2025,2025-11-09,4053,7486
Powys THB,Adults aged 65 years and over,Autumn 2025,2025-11-16,4334,7486
Powys THB,Adults aged 65 years and over,Autumn 2025,2025-11-23,4551,7486
Powys THB,Adults aged 65 years and over,Autumn 2025,2025-11-30,4742,7486
Powys THB,Adults aged 65 years and over,Autumn 2025,2025-12-07,4827,7486
Powys THB,Adults aged 65 years and over,Autumn 2025,2025-12-14,4955,7486
Powys THB,Adults aged 65 years and over,Autumn 2025,2025-12-21,5131,7486
Powys THB,Adults aged 65 years and over,Autumn 2025,2025-12-28,5233,7486
Powys THB,Adults aged 65 years and over,Autumn 2025,2026-01-04,5334,7486
Powys THB,Residents in a care home for older adults,Autumn 2025,2025-09-28,1208,15807
Powys THB,Residents in a care home for older adults,Autumn 2025,2025-10-05,2694,15807
Powys THB,Residents in a care home for older adults,Autumn 2025,2025-10-12,3851,15807
Powys THB,Residents in a care home for older adults,Autumn 2025,2025-10-19,4486,15807
Powys THB,Residents in a care home for older adults,Autumn 2025,2025-10-26,5679,15807
Powys THB,Residents in a care home for older adults,Autumn 2025,2025-11-02,6456,15807
Powys THB,Residents in a care home for older adults,Autumn 2025,2025-11-09,7514,15807
Powys THB,Residents in a care home for older adults,Autumn 2025,2025-11-16,8356,15807
Powys THB,Residents in a care home for older adults,Autumn 2025,2025-11-23,8731,15807
Powys THB,Residents in a care home for older adults,Autumn 2025,2025-11-30,9071,15807
Powys THB,Residents in a care home for older adults,Autumn 2025,2025-12-07,9317,15807
Powys THB,Residents in a care home for older adults,Autumn 2025,2025-12-14,9474,15807
Powys THB,Residents in a care home for older adults,Autumn 2025,2025-12-21,9749,15807
Powys THB,Residents in a care home for older adults,Autumn 2025,2025-12-28,10214,15807
Powys THB,Residents in a care home for older adults,Autumn 2025,2026-01-04,10245,15807
Powys THB,Clinical risk,Autumn 2025,2025-09-28,1679,15116
